GO	Genes
GO:0005515	Glyma.01G025600
GO:0005515	Glyma.01G025800
GO:0016887	Glyma.01G026000
GO:0005524	Glyma.01G026000
GO:0055085	Glyma.01G026000
GO:0042626	Glyma.01G026000
GO:0016021	Glyma.01G026000
GO:0006810	Glyma.01G026000
GO:0055085	Glyma.01G026200
GO:0016020	Glyma.01G026200
GO:0015297	Glyma.01G026200
GO:0015238	Glyma.01G026200
GO:0006855	Glyma.01G026200
GO:0005515	Glyma.01G026500
GO:0030170	Glyma.01G026700
GO:0009058	Glyma.01G026700
GO:0009116	Glyma.01G026800
GO:0055114	Glyma.01G027000
GO:0020037	Glyma.01G027000
GO:0006979	Glyma.01G027000
GO:0004601	Glyma.01G027000
GO:0006468	Glyma.01G027100
GO:0005524	Glyma.01G027100
GO:0004672	Glyma.01G027100
GO:0030170	Glyma.01G027400
GO:0009058	Glyma.01G027400
GO:0005975	Glyma.01G027900
GO:0004650	Glyma.01G027900
GO:0006468	Glyma.01G028033
GO:0004672	Glyma.01G028033
GO:0006468	Glyma.01G028100
GO:0004672	Glyma.01G028100
GO:0003677	Glyma.01G028300
GO:0006355	Glyma.01G028300
GO:0005634	Glyma.01G028300
GO:0006468	Glyma.01G028700
GO:0005524	Glyma.01G028700
GO:0004672	Glyma.01G028700
GO:0005515	Glyma.01G028800
GO:0005525	Glyma.01G029000
GO:0006412	Glyma.01G029200
GO:0005840	Glyma.01G029200
GO:0003735	Glyma.01G029200
GO:0007275	Glyma.01G029300
GO:0006351	Glyma.01G029400
GO:0003899	Glyma.01G029400
GO:0003677	Glyma.01G029400
GO:0005515	Glyma.01G029600
GO:0006468	Glyma.01G030200
GO:0004672	Glyma.01G030200
GO:0005515	Glyma.01G030400
GO:0008270	Glyma.01G030500
GO:0004089	Glyma.01G030500
GO:0003676	Glyma.01G031400
GO:0006397	Glyma.01G031400
GO:0055114	Glyma.01G031500
GO:0016491	Glyma.01G031500
GO:0008152	Glyma.01G031500
GO:0071805	Glyma.01G031800
GO:0016020	Glyma.01G031800
GO:0015079	Glyma.01G031800
GO:0005992	Glyma.01G031900
GO:0003824	Glyma.01G031900
GO:0030131	Glyma.01G032100
GO:0016192	Glyma.01G032100
GO:0006886	Glyma.01G032100
GO:0030117	Glyma.01G032100
GO:0008270	Glyma.01G032200
GO:0005515	Glyma.01G032200
GO:0007165	Glyma.01G032400
GO:0005515	Glyma.01G032400
GO:0043531	Glyma.01G032400
GO:0043039	Glyma.01G032500
GO:0016876	Glyma.01G032500
GO:0005524	Glyma.01G032500
GO:0006418	Glyma.01G032500
GO:0004812	Glyma.01G032500
GO:0000166	Glyma.01G032500
GO:0007165	Glyma.01G032900
GO:0005515	Glyma.01G032900
GO:0043531	Glyma.01G032900
GO:0016758	Glyma.01G033101
GO:0008152	Glyma.01G033101
GO:0007165	Glyma.01G033200
GO:0005515	Glyma.01G033200
GO:0043531	Glyma.01G033200
GO:0007165	Glyma.01G033300
GO:0005515	Glyma.01G033300
GO:0043531	Glyma.01G033300
GO:0016021	Glyma.01G033500
GO:0016020	Glyma.01G033500
GO:0022857	Glyma.01G033500
GO:0016021	Glyma.01G033700
GO:0016020	Glyma.01G033700
GO:0022857	Glyma.01G033700
GO:0016021	Glyma.01G033800
GO:0016020	Glyma.01G033800
GO:0022857	Glyma.01G033800
GO:0016021	Glyma.01G033900
GO:0016020	Glyma.01G033900
GO:0022857	Glyma.01G033900
GO:0006468	Glyma.01G034100
GO:0005524	Glyma.01G034100
GO:0004672	Glyma.01G034100
GO:0008080	Glyma.01G034200
GO:0016413	Glyma.01G034900
GO:0010411	Glyma.01G034900
GO:0005794	Glyma.01G034900
GO:0055085	Glyma.01G035000
GO:0016020	Glyma.01G035000
GO:0006810	Glyma.01G035000
GO:0005215	Glyma.01G035000
GO:0055114	Glyma.01G035100
GO:0016491	Glyma.01G035100
GO:0006633	Glyma.01G035100
GO:0005506	Glyma.01G035100
GO:0043531	Glyma.01G035400
GO:0005634	Glyma.01G035600
GO:0043531	Glyma.01G035800
GO:0016758	Glyma.01G036000
GO:0008152	Glyma.01G036000
GO:0043531	Glyma.01G036100
GO:0005515	Glyma.01G036700
GO:0005515	Glyma.01G036800
GO:0031012	Glyma.01G036900
GO:0008270	Glyma.01G036900
GO:0006508	Glyma.01G036900
GO:0004222	Glyma.01G036900
GO:0031012	Glyma.01G037100
GO:0008270	Glyma.01G037100
GO:0006508	Glyma.01G037100
GO:0004222	Glyma.01G037100
GO:0031012	Glyma.01G037200
GO:0008270	Glyma.01G037200
GO:0006508	Glyma.01G037200
GO:0004222	Glyma.01G037200
GO:0000160	Glyma.01G037500
GO:0016757	Glyma.01G037900
GO:0016624	Glyma.01G038002
GO:0008152	Glyma.01G038002
GO:0005524	Glyma.01G038100
GO:0003676	Glyma.01G038100
GO:0006355	Glyma.01G038300
GO:0005515	Glyma.01G038400
GO:0016787	Glyma.01G038800
GO:0007165	Glyma.01G039000
GO:0005515	Glyma.01G039000
GO:0046983	Glyma.01G039200
GO:0006355	Glyma.01G039300
GO:0005634	Glyma.01G039300
GO:0005515	Glyma.01G039600
GO:0016020	Glyma.01G039800
GO:0008378	Glyma.01G039800
GO:0006486	Glyma.01G039800
GO:0030246	Glyma.01G039800
GO:0030247	Glyma.01G039900
GO:0005515	Glyma.01G040000
GO:0005515	Glyma.01G040200
GO:0045454	Glyma.01G040700
GO:0015035	Glyma.01G040700
GO:0006662	Glyma.01G040700
GO:0005524	Glyma.01G040900
GO:0003676	Glyma.01G040900
GO:0004386	Glyma.01G040900
GO:0045454	Glyma.01G041100
GO:0015035	Glyma.01G041100
GO:0006662	Glyma.01G041100
GO:0045454	Glyma.01G041200
GO:0015035	Glyma.01G041200
GO:0006662	Glyma.01G041200
GO:0016020	Glyma.01G041400
GO:0006810	Glyma.01G041400
GO:0005215	Glyma.01G041400
GO:0016020	Glyma.01G041450
GO:0006810	Glyma.01G041450
GO:0005215	Glyma.01G041450
GO:0003676	Glyma.01G041651
GO:0003677	Glyma.01G041700
GO:0043565	Glyma.01G041700
GO:0006355	Glyma.01G041700
GO:0003700	Glyma.01G041700
GO:0016020	Glyma.01G042100
GO:0006810	Glyma.01G042100
GO:0005215	Glyma.01G042100
GO:0006468	Glyma.01G042400
GO:0004672	Glyma.01G042400
GO:0016020	Glyma.01G042600
GO:0030570	Glyma.01G042700
GO:0008270	Glyma.01G042900
GO:0006355	Glyma.01G042900
GO:0006352	Glyma.01G042900
GO:0006468	Glyma.01G043100
GO:0005524	Glyma.01G043100
GO:0004672	Glyma.01G043100
GO:0043565	Glyma.01G043300
GO:0006355	Glyma.01G043300
GO:0003700	Glyma.01G043300
GO:0006468	Glyma.01G043700
GO:0004672	Glyma.01G043700
GO:0005515	Glyma.01G043800
GO:0006468	Glyma.01G044100
GO:0004672	Glyma.01G044100
GO:0055085	Glyma.01G044200
GO:0003677	Glyma.01G044600
GO:0043565	Glyma.01G044600
GO:0006355	Glyma.01G044600
GO:0003700	Glyma.01G044600
GO:0046983	Glyma.01G044800
GO:0006457	Glyma.01G044900
GO:0003755	Glyma.01G044900
GO:0000413	Glyma.01G044900
GO:0005515	Glyma.01G045100
GO:0006629	Glyma.01G046000
GO:0016758	Glyma.01G046300
GO:0008152	Glyma.01G046300
GO:0006260	Glyma.01G046400
GO:0005664	Glyma.01G046400
GO:0003677	Glyma.01G046400
GO:0055114	Glyma.01G046500
GO:0016491	Glyma.01G046500
GO:0006633	Glyma.01G046500
GO:0005506	Glyma.01G046500
GO:0008168	Glyma.01G046700
GO:0006355	Glyma.01G046800
GO:0003677	Glyma.01G046800
GO:0007165	Glyma.01G046900
GO:0005515	Glyma.01G046900
GO:0043531	Glyma.01G046900
GO:0006412	Glyma.01G047000
GO:0005840	Glyma.01G047000
GO:0005622	Glyma.01G047000
GO:0003735	Glyma.01G047000
GO:0016787	Glyma.01G047100
GO:0055114	Glyma.01G047300
GO:0020037	Glyma.01G047300
GO:0016705	Glyma.01G047300
GO:0005506	Glyma.01G047300
GO:0008270	Glyma.01G047700
GO:0006412	Glyma.01G048000
GO:0005840	Glyma.01G048000
GO:0005622	Glyma.01G048000
GO:0003735	Glyma.01G048000
GO:0033897	Glyma.01G048200
GO:0003723	Glyma.01G048200
GO:0033897	Glyma.01G048400
GO:0003723	Glyma.01G048400
GO:0016020	Glyma.01G048500
GO:0008378	Glyma.01G048500
GO:0006486	Glyma.01G048500
GO:0030246	Glyma.01G048500
GO:0008270	Glyma.01G048700
GO:0005515	Glyma.01G048700
GO:0055114	Glyma.01G048800
GO:0016614	Glyma.01G048800
GO:0050660	Glyma.01G048800
GO:0006355	Glyma.01G049400
GO:0003677	Glyma.01G049400
GO:0005975	Glyma.01G049700
GO:0004553	Glyma.01G049700
GO:0006355	Glyma.01G049900
GO:0005739	Glyma.01G049900
GO:0003690	Glyma.01G049900
GO:0019898	Glyma.01G050900
GO:0015979	Glyma.01G050900
GO:0009654	Glyma.01G050900
GO:0009523	Glyma.01G050900
GO:0005509	Glyma.01G050900
GO:0006355	Glyma.01G051300
GO:0003677	Glyma.01G051300
GO:0006355	Glyma.01G051400
GO:0055114	Glyma.01G051800
GO:0016620	Glyma.01G051800
GO:0006468	Glyma.01G052600
GO:0004672	Glyma.01G052600
GO:0016020	Glyma.01G052800
GO:0006886	Glyma.01G052800
GO:0016020	Glyma.01G052900
GO:0005515	Glyma.01G053100
GO:0003676	Glyma.01G053100
GO:0008270	Glyma.01G053300
GO:0006468	Glyma.01G053400
GO:0004672	Glyma.01G053400
GO:0003723	Glyma.01G053700
